编号,情感,情感分类,sentiment,资本运作风险,债务风险,融资风险,产品质量风险,关键人才流失风险
50,0,0,1.40625,-0.6875,-2.6875,0,24.40625,3
51,0,0,7.75,-4,0,3.5,1.375,0
56,0,0,23.75,0,0,0,28.25,2.5
59,2,2,-21.25,0,0,0,-44.75,-63.25
64,2,0,-5,0,0,0,0,-31.875
84,2,2,-12.125,0,0,0,0,7.75
95,2,0,-17.3125,0,0,0,-3.625,-3
143,2,2,-68,0,0,0,-1,-36.5
170,2,2,-1.5,-3.625,0,-2,-3.625,-5.25
205,2,2,-4,0,1,0,0,-4.5
262,2,2,2.25,5.375,0,-3.5,1,10.5
276,2,0,5.40625,-5.25,2.5,-2.25,-7,0
328,2,2,-9.25,-27.25,-11.5,-18.5,-8.75,-27.625
335,2,2,-4,2.25,0,5,-4.5,1.25
357,2,2,-6.25,-4.875,0,-4.875,0,-34
406,2,2,-19,0,0,0,0,-88.5
426,0,2,-1,0,0,0,0,12
434,2,2,-31.875,-231.25,-105.125,-161.125,0,-63.75
487,2,2,-12.875,0,0,0,-6.6875,-0.25
492,2,2,1,0,1.5,1.5,0,2
506,2,2,-22.75,-22.625,0,0,-23.75,0
534,0,0,5.5,1.5,0,10.25,-9.5,-1.5
535,2,2,-17.25,-69.5,0,-16.25,-16.75,-52.75
536,2,0,3.96875,18.75,-4.28125,5.0625,0,10.125
566,2,2,-16,0,0,-6,0,3
578,2,2,6,6,0,0,0,36
584,2,2,-8,0,0,0,0,-10.5
606,2,2,-9.5,0,0,0,0,-20.5
615,2,2,-5,1.5,0,-19.5,1.5,0
623,2,2,-4,0,0,0,0,4.5
624,2,2,-65.75,-17.75,-4,-9,-8,-11.5
681,2,0,-2,-4,0,0,-3,0
715,2,2,-4,0,0,0,0,-2.5
744,2,2,-2.75,-1.5,0,-4,3.75,-2.25
746,0,0,6,8.125,-1.5,3.125,3,-6.75
757,0,0,9.5,1.5,0,0,5.0625,1
759,2,2,-11.25,0,-1.5,-12.25,0,-9.25
771,2,2,-15.75,-23,0,-20.75,0,-29
780,2,2,-2,-3,0,0,-2,-2
849,2,2,-15.25,-42,-29,-6.5,-5.5,-78.375
859,2,0,4.125,1.5,0,0,1.625,1
893,0,0,10.375,3.5,0,0,15,0
940,2,2,-2,0,0,0,0,-3
943,2,0,4,0,0,0,0,1
945,2,0,-2.625,3.75,-25.8125,3.75,0,0
957,2,2,-8.25,-8.75,-5,-8.75,0,-9
985,2,2,-15.46875,0,0,0,-50.109375,0
986,0,0,-3.75,0,0,0,0,-9.5
988,2,2,-7.375,7.875,0.375,2.25,-1.625,-11.125
1027,0,0,6,-3.5,0,-0.5,5,-4
